Header_Length,Protocol Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Magnitue,Radius,Covariance,Variance,Weight
2368.8,6.0,64.0,100021.45446034074,100021.45446034074,0.0,0.0,0.0,0.21,0.39,0.79,0.0,0.0,0.0,0.0,0.88,3.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7090.23,180.39,1329.09,662.2801276729376,517.074018972497,641.75,101600370.78896353,9.5,34.62164832731601,731.3455434493544,337534.788246919,0.83,141.55
1924.95,6.0,64.0,52267.18951818194,52267.18951818194,0.0,0.0,0.01,0.23,0.61,0.76,0.0,0.0,0.0,0.01,1.93,2.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6087.92,174.69,1172.27,608.1895875835121,384.772939677626,508.35,84666975.65808962,9.5,32.6531093661883,544.4002513303845,204280.31890076865,0.93,141.55
3361.31,6.0,64.0,1768.9464758258844,1768.9464758258844,0.0,0.0,0.11,0.49,0.3,0.51,0.0,0.0,0.0,0.11,5.44,3.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4859.18,172.6,1010.85,480.4108706666999,333.1969380203996,380.37,84666975.65856755,9.5,27.659992681424995,470.6312551947431,178598.56244710385,0.9,141.55
2373.46,6.0,64.0,23831.94200783498,23831.94200783498,0.0,0.02,0.0,0.21,0.6,0.79,0.0,0.0,0.02,0.0,0.63,3.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5065.13,130.62,1044.65,506.18806040412113,373.7025324321432,480.73,84666975.65913017,9.5,29.2440595865916,528.2984671645386,212671.3147473843,0.95,141.55
980.19,6.0,64.0,255850.32590485376,255850.32590485376,0.0,0.0,0.01,0.36,0.5,0.64,0.0,0.0,0.0,0.01,3.21,3.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1975.79,75.88,408.79,175.16926745455265,116.41828920125344,224.86,84666975.65982807,9.5,17.750179491187748,164.20076308926227,33462.38264683201,0.86,141.55
6305.08,6.0,64.0,29104.181836419302,29104.181836419302,0.0,0.0,0.02,0.41,0.33,0.59,0.0,0.0,0.0,0.02,2.63,4.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7385.8,267.42,1149.0,718.0991583970296,366.30453256736,783.11,84666975.66087447,9.5,34.2011500197473,517.2696164995864,208105.36858211388,0.7,141.55
933.27,6.0,64.0,159043.04664307256,159043.04664307256,0.0,0.02,0.27,0.2,0.12,0.54,0.0,0.0,0.03,0.28,1.07,1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2258.68,76.2,610.17,207.54967509837945,206.59326785138663,255.95,84666975.66188264,9.5,18.34401446037901,292.267405924823,111922.15325692264,0.85,141.55
1664.94,6.0,64.0,7763.572559339821,7763.572559339821,0.0,0.0,0.0,0.25,0.54,0.75,0.0,0.0,0.0,0.13,1.43,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4319.23,122.46,1294.95,419.85392053689344,432.1120635544783,463.16,84666975.66220248,9.5,27.933684393377074,611.3145152534626,225723.1978654473,0.9,141.55
5677.55,6.0,64.0,2052.502679510273,2052.502679510273,0.0,0.01,0.0,0.09,0.71,0.91,0.0,0.0,0.01,0.01,2.4,6.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8308.6,215.8,1194.83,804.1709528868533,373.1347944544253,769.38,84666975.66280289,9.5,38.42055939182572,527.5600170720448,188202.6189465878,0.84,141.55
2863.4,6.0,64.0,56009.36421150818,56009.36421150818,0.0,0.03,0.0,0.16,0.5,0.84,0.0,0.0,0.03,0.16,1.38,5.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4192.83,122.76,811.25,401.24941898052913,254.68414974073505,331.11,84666975.66360049,9.5,25.815161411851,360.3704546812047,117449.44313966764,0.92,141.55
